,C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT,O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT,L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
10,88,Customer#000000088,wtkjBN9eyrFuENSMmMFlJ3e7jE5KXcg,16,26-516-273-2566,8031.44,AUTOMOBILE,s are quickly above the quickly ironic instructions; even requests about the carefully final deposi,46116,88,F,223894.83,1995-01-08,1-URGENT,Clerk#000000980,0,ending ideas haggle slyly. depende,46116,1426,44,5,40.00,53096.80,0.07,0.03,R,F,1995-03-31,1995-02-16,1995-04-25,DELIVER IN PERSON,TRUCK,kages haggle fluffily along the dependenci
11,118,Customer#000000118,OVnFuHygK9wx3xpg8,18,28-639-943-7051,3582.37,AUTOMOBILE,uick packages alongside of the furiously final deposits haggle above the fluffily even foxes. blithely dogged dep,12615,118,F,20866.10,1995-03-06,4-NOT SPECIFIED,Clerk#000000993,0,old packages. accounts use slyly after the foxes. ,12615,1406,7,1,16.00,20918.40,0.05,0.05,A,F,1995-04-19,1995-05-18,1995-05-04,COLLECT COD,TRUCK,ously final packages d
12,124,Customer#000000124,"aTbyVAW5tCd,v09O",18,28-183-750-7809,1842.49,AUTOMOBILE,le fluffily even dependencies. quietly s,45059,124,F,239264.56,1995-02-04,4-NOT SPECIFIED,Clerk#000000905,0, accounts. enticingly express requests boost. bli,45059,1685,86,1,10.00,15866.80,0.00,0.07,A,F,1995-03-30,1995-04-27,1995-04-14,NONE,REG AIR,waters. regular ideas doze quickly. 
13,124,Customer#000000124,"aTbyVAW5tCd,v09O",18,28-183-750-7809,1842.49,AUTOMOBILE,le fluffily even dependencies. quietly s,45059,124,F,239264.56,1995-02-04,4-NOT SPECIFIED,Clerk#000000905,0, accounts. enticingly express requests boost. bli,45059,1996,97,2,45.00,85409.55,0.05,0.04,A,F,1995-04-05,1995-03-21,1995-04-14,COLLECT COD,REG AIR,fily pending accounts are across the furiou
14,124,Customer#000000124,"aTbyVAW5tCd,v09O",18,28-183-750-7809,1842.49,AUTOMOBILE,le fluffily even dependencies. quietly s,45059,124,F,239264.56,1995-02-04,4-NOT SPECIFIED,Clerk#000000905,0, accounts. enticingly express requests boost. bli,45059,1753,54,4,45.00,74463.75,0.01,0.06,R,F,1995-04-15,1995-03-24,1995-05-13,NONE,FOB,theodolites. carefully regular 
15,124,Customer#000000124,"aTbyVAW5tCd,v09O",18,28-183-750-7809,1842.49,AUTOMOBILE,le fluffily even dependencies. quietly s,45059,124,F,239264.56,1995-02-04,4-NOT SPECIFIED,Clerk#000000905,0, accounts. enticingly express requests boost. bli,45059,401,31,5,8.00,10411.20,0.03,0.07,R,F,1995-04-14,1995-04-23,1995-04-23,TAKE BACK RETURN,TRUCK,kindle alongside
16,124,Customer#000000124,"aTbyVAW5tCd,v09O",18,28-183-750-7809,1842.49,AUTOMOBILE,le fluffily even dependencies. quietly s,45059,124,F,239264.56,1995-02-04,4-NOT SPECIFIED,Clerk#000000905,0, accounts. enticingly express requests boost. bli,45059,10,36,6,44.00,40040.44,0.06,0.06,N,F,1995-06-04,1995-03-20,1995-07-01,TAKE BACK RETURN,RAIL,ep. blithely expre
17,158,Customer#000000158,"2HaYxi0J1620aoI1CdFyrW,rWOy",10,20-383-680-1329,6160.95,AUTOMOBILE,ecoys. fluffily quick requests use flu,46115,158,P,306350.62,1995-03-03,1-URGENT,Clerk#000000096,0,ts. slyly pending dependencies about the furiously bold foxes cajo,46115,1369,8,1,49.00,62247.64,0.10,0.08,A,F,1995-04-28,1995-04-19,1995-05-02,COLLECT COD,FOB,ully silent theodolites. fluffy d
18,158,Customer#000000158,"2HaYxi0J1620aoI1CdFyrW,rWOy",10,20-383-680-1329,6160.95,AUTOMOBILE,ecoys. fluffily quick requests use flu,46115,158,P,306350.62,1995-03-03,1-URGENT,Clerk#000000096,0,ts. slyly pending dependencies about the furiously bold foxes cajo,46115,471,72,2,43.00,58973.21,0.03,0.02,R,F,1995-03-23,1995-05-19,1995-04-05,DELIVER IN PERSON,MAIL, unusual deposits. sl
19,158,Customer#000000158,"2HaYxi0J1620aoI1CdFyrW,rWOy",10,20-383-680-1329,6160.95,AUTOMOBILE,ecoys. fluffily quick requests use flu,46115,158,P,306350.62,1995-03-03,1-URGENT,Clerk#000000096,0,ts. slyly pending dependencies about the furiously bold foxes cajo,46115,1417,96,3,18.00,23731.38,0.09,0.02,A,F,1995-03-12,1995-05-27,1995-03-13,TAKE BACK RETURN,FOB,ithely blithely special theodolites. furio
20,158,Customer#000000158,"2HaYxi0J1620aoI1CdFyrW,rWOy",10,20-383-680-1329,6160.95,AUTOMOBILE,ecoys. fluffily quick requests use flu,46115,158,P,306350.62,1995-03-03,1-URGENT,Clerk#000000096,0,ts. slyly pending dependencies about the furiously bold foxes cajo,46115,1474,75,4,28.00,38513.16,0.10,0.05,A,F,1995-05-10,1995-04-02,1995-06-01,COLLECT COD,AIR,nts. final accounts haggle slyl
21,158,Customer#000000158,"2HaYxi0J1620aoI1CdFyrW,rWOy",10,20-383-680-1329,6160.95,AUTOMOBILE,ecoys. fluffily quick requests use flu,46115,158,P,306350.62,1995-03-03,1-URGENT,Clerk#000000096,0,ts. slyly pending dependencies about the furiously bold foxes cajo,46115,874,75,5,46.00,81644.02,0.04,0.07,N,F,1995-06-01,1995-05-15,1995-06-18,TAKE BACK RETURN,FOB,al foxes. express foxes across t
22,158,Customer#000000158,"2HaYxi0J1620aoI1CdFyrW,rWOy",10,20-383-680-1329,6160.95,AUTOMOBILE,ecoys. fluffily quick requests use flu,46115,158,P,306350.62,1995-03-03,1-URGENT,Clerk#000000096,0,ts. slyly pending dependencies about the furiously bold foxes cajo,46115,808,75,6,26.00,44428.80,0.04,0.06,N,O,1995-06-19,1995-05-13,1995-06-27,COLLECT COD,FOB,ake expres
23,167,Customer#000000167,QNc2eOlRIzL6jpthwgDuB866uCIUPiOX,5,15-288-395-5501,1468.09,AUTOMOBILE,espite the ironic excuses. furiously final deposits wake slyly. slyly ex,57697,167,F,214721.32,1995-02-08,5-LOW,Clerk#000000314,0,"counts. ironic, special pinto beans",57697,1674,98,2,20.00,31513.40,0.04,0.07,R,F,1995-05-25,1995-04-16,1995-05-31,TAKE BACK RETURN,SHIP,al theodolites. sl
24,167,Customer#000000167,QNc2eOlRIzL6jpthwgDuB866uCIUPiOX,5,15-288-395-5501,1468.09,AUTOMOBILE,espite the ironic excuses. furiously final deposits wake slyly. slyly ex,57697,167,F,214721.32,1995-02-08,5-LOW,Clerk#000000314,0,"counts. ironic, special pinto beans",57697,481,69,3,26.00,35918.48,0.08,0.02,A,F,1995-03-12,1995-04-20,1995-03-29,DELIVER IN PERSON,TRUCK,"yly before the special,"
25,167,Customer#000000167,QNc2eOlRIzL6jpthwgDuB866uCIUPiOX,5,15-288-395-5501,1468.09,AUTOMOBILE,espite the ironic excuses. furiously final deposits wake slyly. slyly ex,57697,167,F,214721.32,1995-02-08,5-LOW,Clerk#000000314,0,"counts. ironic, special pinto beans",57697,1146,83,4,48.00,50262.72,0.01,0.01,R,F,1995-05-05,1995-03-18,1995-05-07,DELIVER IN PERSON,FOB,"each. unusual, regular instructions pro"
26,167,Customer#000000167,QNc2eOlRIzL6jpthwgDuB866uCIUPiOX,5,15-288-395-5501,1468.09,AUTOMOBILE,espite the ironic excuses. furiously final deposits wake slyly. slyly ex,57697,167,F,214721.32,1995-02-08,5-LOW,Clerk#000000314,0,"counts. ironic, special pinto beans",57697,1679,21,5,28.00,44258.76,0.09,0.02,A,F,1995-05-31,1995-04-18,1995-06-06,DELIVER IN PERSON,SHIP,uickly among the unusua
27,167,Customer#000000167,QNc2eOlRIzL6jpthwgDuB866uCIUPiOX,5,15-288-395-5501,1468.09,AUTOMOBILE,espite the ironic excuses. furiously final deposits wake slyly. slyly ex,57697,167,F,214721.32,1995-02-08,5-LOW,Clerk#000000314,0,"counts. ironic, special pinto beans",57697,224,79,6,30.00,33726.60,0.07,0.02,R,F,1995-03-13,1995-03-29,1995-04-05,TAKE BACK RETURN,TRUCK, blithely slyly even courts. dependen
28,167,Customer#000000167,QNc2eOlRIzL6jpthwgDuB866uCIUPiOX,5,15-288-395-5501,1468.09,AUTOMOBILE,espite the ironic excuses. furiously final deposits wake slyly. slyly ex,57697,167,F,214721.32,1995-02-08,5-LOW,Clerk#000000314,0,"counts. ironic, special pinto beans",57697,125,4,7,2.00,2050.24,0.10,0.08,R,F,1995-05-16,1995-04-24,1995-06-08,TAKE BACK RETURN,AIR,y about the closely bold packages. thinly f
29,197,Customer#000000197,UeVqssepNuXmtZ38D,1,11-107-312-6585,9860.22,AUTOMOBILE,ickly final accounts cajole. furiously re,46755,197,F,285293.63,1995-02-07,2-HIGH,Clerk#000000302,0,ckages. fluffily unusual pinto beans nag furiously.,46755,412,13,1,16.00,20998.56,0.07,0.06,R,F,1995-03-14,1995-04-18,1995-03-28,TAKE BACK RETURN,RAIL,"nic, final accounts."
30,197,Customer#000000197,UeVqssepNuXmtZ38D,1,11-107-312-6585,9860.22,AUTOMOBILE,ickly final accounts cajole. furiously re,46755,197,F,285293.63,1995-02-07,2-HIGH,Clerk#000000302,0,ckages. fluffily unusual pinto beans nag furiously.,46755,1323,24,2,21.00,25710.72,0.00,0.04,A,F,1995-04-19,1995-04-10,1995-04-25,NONE,SHIP,"unts. final, final plate"
31,197,Customer#000000197,UeVqssepNuXmtZ38D,1,11-107-312-6585,9860.22,AUTOMOBILE,ickly final accounts cajole. furiously re,46755,197,F,285293.63,1995-02-07,2-HIGH,Clerk#000000302,0,ckages. fluffily unusual pinto beans nag furiously.,46755,941,44,4,39.00,71835.66,0.08,0.04,R,F,1995-04-27,1995-03-10,1995-04-30,COLLECT COD,SHIP,ts. pending deposits sleep 
32,197,Customer#000000197,UeVqssepNuXmtZ38D,1,11-107-312-6585,9860.22,AUTOMOBILE,ickly final accounts cajole. furiously re,46755,197,F,285293.63,1995-02-07,2-HIGH,Clerk#000000302,0,ckages. fluffily unusual pinto beans nag furiously.,46755,275,30,5,31.00,36433.37,0.01,0.04,R,F,1995-03-17,1995-03-23,1995-03-19,NONE,REG AIR,ly final accounts haggle 
33,197,Customer#000000197,UeVqssepNuXmtZ38D,1,11-107-312-6585,9860.22,AUTOMOBILE,ickly final accounts cajole. furiously re,46755,197,F,285293.63,1995-02-07,2-HIGH,Clerk#000000302,0,ckages. fluffily unusual pinto beans nag furiously.,46755,1816,46,6,36.00,61841.16,0.05,0.02,A,F,1995-04-16,1995-04-03,1995-04-17,TAKE BACK RETURN,MAIL,s are. carefully 
34,202,Customer#000000202,Q0uJ1frCbi9yvu,7,17-905-805-4635,2237.64,AUTOMOBILE,fully along the carefully pending Tiresias; special packages along the carefully special deposits try to,52486,202,F,277543.84,1995-01-05,4-NOT SPECIFIED,Clerk#000000571,0,s the slyly ironic foxes. packa,52486,1753,54,1,30.00,49642.50,0.00,0.07,A,F,1995-04-18,1995-02-18,1995-04-20,COLLECT COD,FOB, accounts alongside of the bl
35,202,Customer#000000202,Q0uJ1frCbi9yvu,7,17-905-805-4635,2237.64,AUTOMOBILE,fully along the carefully pending Tiresias; special packages along the carefully special deposits try to,52486,202,F,277543.84,1995-01-05,4-NOT SPECIFIED,Clerk#000000571,0,s the slyly ironic foxes. packa,52486,499,100,3,23.00,32188.27,0.09,0.05,A,F,1995-03-28,1995-02-11,1995-04-07,TAKE BACK RETURN,RAIL,"uests above the permanent, unusual accoun"
36,202,Customer#000000202,Q0uJ1frCbi9yvu,7,17-905-805-4635,2237.64,AUTOMOBILE,fully along the carefully pending Tiresias; special packages along the carefully special deposits try to,52486,202,F,277543.84,1995-01-05,4-NOT SPECIFIED,Clerk#000000571,0,s the slyly ironic foxes. packa,52486,915,18,4,44.00,79900.04,0.07,0.02,R,F,1995-04-26,1995-02-27,1995-05-22,COLLECT COD,FOB,ily special courts
37,202,Customer#000000202,Q0uJ1frCbi9yvu,7,17-905-805-4635,2237.64,AUTOMOBILE,fully along the carefully pending Tiresias; special packages along the carefully special deposits try to,52486,202,F,277543.84,1995-01-05,4-NOT SPECIFIED,Clerk#000000571,0,s the slyly ironic foxes. packa,52486,92,93,6,13.00,12897.17,0.09,0.04,A,F,1995-03-13,1995-03-14,1995-03-16,NONE,TRUCK,s wake unusual accounts. carefully ironic r
38,235,Customer#000000235,bp0rIBMh4fMdQnHBmMnB,3,13-350-790-6416,754.41,AUTOMOBILE,hely ruthless instructions again,34978,235,F,329225.83,1995-02-05,2-HIGH,Clerk#000000336,0,"ngside of the ironic, ironic platelets. s",34978,1919,64,1,30.00,54627.30,0.09,0.03,A,F,1995-03-12,1995-04-19,1995-03-20,DELIVER IN PERSON,MAIL, packages. pending theodolites
39,235,Customer#000000235,bp0rIBMh4fMdQnHBmMnB,3,13-350-790-6416,754.41,AUTOMOBILE,hely ruthless instructions again,34978,235,F,329225.83,1995-02-05,2-HIGH,Clerk#000000336,0,"ngside of the ironic, ironic platelets. s",34978,1292,67,2,42.00,50118.18,0.01,0.03,R,F,1995-05-16,1995-03-31,1995-05-31,COLLECT COD,AIR,ly regular foxe
40,235,Customer#000000235,bp0rIBMh4fMdQnHBmMnB,3,13-350-790-6416,754.41,AUTOMOBILE,hely ruthless instructions again,34978,235,F,329225.83,1995-02-05,2-HIGH,Clerk#000000336,0,"ngside of the ironic, ironic platelets. s",34978,1909,98,3,7.00,12676.30,0.00,0.00,A,F,1995-03-17,1995-04-05,1995-04-01,TAKE BACK RETURN,MAIL,ironic accounts boost furiousl
41,235,Customer#000000235,bp0rIBMh4fMdQnHBmMnB,3,13-350-790-6416,754.41,AUTOMOBILE,hely ruthless instructions again,34978,235,F,329225.83,1995-02-05,2-HIGH,Clerk#000000336,0,"ngside of the ironic, ironic platelets. s",34978,1848,49,5,37.00,64744.08,0.01,0.06,A,F,1995-04-15,1995-04-26,1995-05-13,NONE,MAIL,y blithely bold pinto beans. furious
42,235,Customer#000000235,bp0rIBMh4fMdQnHBmMnB,3,13-350-790-6416,754.41,AUTOMOBILE,hely ruthless instructions again,34978,235,F,329225.83,1995-02-05,2-HIGH,Clerk#000000336,0,"ngside of the ironic, ironic platelets. s",34978,1597,98,7,16.00,23977.44,0.00,0.03,A,F,1995-04-06,1995-04-23,1995-05-02,DELIVER IN PERSON,MAIL, blithely special du
43,236,Customer#000000236,"kcW,mM0rhIstAcVaol1,6DVkS FPKlhY",14,24-808-967-4503,5384.59,AUTOMOBILE,te slyly along the requests. carefully final requests sleep slyly blithe frets. furiously ruthless dep,55973,236,F,351195.20,1995-02-15,5-LOW,Clerk#000000256,0,"furiously final pinto beans after the ironic, final",55973,394,79,1,41.00,53069.99,0.00,0.07,R,F,1995-05-28,1995-03-25,1995-06-05,DELIVER IN PERSON,FOB,ar pinto beans are f
44,236,Customer#000000236,"kcW,mM0rhIstAcVaol1,6DVkS FPKlhY",14,24-808-967-4503,5384.59,AUTOMOBILE,te slyly along the requests. carefully final requests sleep slyly blithe frets. furiously ruthless dep,55973,236,F,351195.20,1995-02-15,5-LOW,Clerk#000000256,0,"furiously final pinto beans after the ironic, final",55973,1688,71,2,18.00,28614.24,0.05,0.08,R,F,1995-05-20,1995-03-19,1995-05-25,DELIVER IN PERSON,REG AIR, carefully iro
45,236,Customer#000000236,"kcW,mM0rhIstAcVaol1,6DVkS FPKlhY",14,24-808-967-4503,5384.59,AUTOMOBILE,te slyly along the requests. carefully final requests sleep slyly blithe frets. furiously ruthless dep,55973,236,F,351195.20,1995-02-15,5-LOW,Clerk#000000256,0,"furiously final pinto beans after the ironic, final",55973,629,61,3,34.00,52007.08,0.01,0.08,A,F,1995-03-23,1995-04-29,1995-04-07,COLLECT COD,REG AIR,hinder fluffily along
46,236,Customer#000000236,"kcW,mM0rhIstAcVaol1,6DVkS FPKlhY",14,24-808-967-4503,5384.59,AUTOMOBILE,te slyly along the requests. carefully final requests sleep slyly blithe frets. furiously ruthless dep,55973,236,F,351195.20,1995-02-15,5-LOW,Clerk#000000256,0,"furiously final pinto beans after the ironic, final",55973,361,18,4,50.00,63068.00,0.10,0.01,N,F,1995-06-11,1995-05-06,1995-07-05,COLLECT COD,MAIL, to the slyly sp
47,236,Customer#000000236,"kcW,mM0rhIstAcVaol1,6DVkS FPKlhY",14,24-808-967-4503,5384.59,AUTOMOBILE,te slyly along the requests. carefully final requests sleep slyly blithe frets. furiously ruthless dep,55973,236,F,351195.20,1995-02-15,5-LOW,Clerk#000000256,0,"furiously final pinto beans after the ironic, final",55973,403,62,6,17.00,22157.80,0.00,0.08,R,F,1995-04-15,1995-03-26,1995-04-20,NONE,REG AIR,ideas. furiously ironic ideas cajole fluf
48,236,Customer#000000236,"kcW,mM0rhIstAcVaol1,6DVkS FPKlhY",14,24-808-967-4503,5384.59,AUTOMOBILE,te slyly along the requests. carefully final requests sleep slyly blithe frets. furiously ruthless dep,55973,236,F,351195.20,1995-02-15,5-LOW,Clerk#000000256,0,"furiously final pinto beans after the ironic, final",55973,958,61,7,49.00,91088.55,0.04,0.06,R,F,1995-04-19,1995-04-21,1995-05-15,COLLECT COD,MAIL,refully unus
49,241,Customer#000000241,"FBuwHkPR450PvnZnAezcaeMaS,hX3Ifdk",9,19-344-614-2207,6569.34,AUTOMOBILE, across the enticingly even requests. blithely iro,20068,241,P,134754.79,1995-03-01,1-URGENT,Clerk#000000967,0,s. final platelets cajole according to the special packages.,20068,913,14,1,19.00,34464.29,0.08,0.02,R,F,1995-05-10,1995-05-28,1995-05-12,COLLECT COD,RAIL,uses are carefully
50,241,Customer#000000241,"FBuwHkPR450PvnZnAezcaeMaS,hX3Ifdk",9,19-344-614-2207,6569.34,AUTOMOBILE, across the enticingly even requests. blithely iro,20068,241,P,134754.79,1995-03-01,1-URGENT,Clerk#000000967,0,s. final platelets cajole according to the special packages.,20068,1241,42,2,9.00,10280.16,0.05,0.08,N,O,1995-06-28,1995-04-20,1995-07-12,TAKE BACK RETURN,AIR, ironic packages mo
51,241,Customer#000000241,"FBuwHkPR450PvnZnAezcaeMaS,hX3Ifdk",9,19-344-614-2207,6569.34,AUTOMOBILE, across the enticingly even requests. blithely iro,20068,241,P,134754.79,1995-03-01,1-URGENT,Clerk#000000967,0,s. final platelets cajole according to the special packages.,20068,1840,70,3,32.00,55738.88,0.10,0.03,R,F,1995-03-12,1995-05-11,1995-03-23,COLLECT COD,TRUCK,ons are slyly al
52,241,Customer#000000241,"FBuwHkPR450PvnZnAezcaeMaS,hX3Ifdk",9,19-344-614-2207,6569.34,AUTOMOBILE, across the enticingly even requests. blithely iro,20068,241,P,134754.79,1995-03-01,1-URGENT,Clerk#000000967,0,s. final platelets cajole according to the special packages.,20068,155,8,4,37.00,39040.55,0.01,0.04,R,F,1995-05-14,1995-04-28,1995-05-18,COLLECT COD,TRUCK, serve above the never regular p
53,253,Customer#000000253,naGyIRPFPH E,15,25-461-140-9884,9139.52,AUTOMOBILE, regular deposits sleep against the accounts. foxes cajole carefully special ,34592,253,F,50781.48,1995-02-28,5-LOW,Clerk#000000914,0,foxes cajole blithely b,34592,1625,26,1,33.00,50378.46,0.04,0.05,A,F,1995-04-24,1995-04-03,1995-04-28,COLLECT COD,FOB,blithely slyly unusual
54,257,Customer#000000257,LyIa26EXYaSU,7,17-816-687-2155,-339.85,AUTOMOBILE,"s cajole quickly along the ironic pinto beans: even, regular foxes are ",58340,257,F,183442.39,1995-01-09,3-MEDIUM,Clerk#000000841,0,"s foxes-- packages grow blithely pending, silent decoys. slyly ",58340,461,49,1,16.00,21783.36,0.05,0.03,R,F,1995-03-23,1995-03-25,1995-04-11,COLLECT COD,RAIL, blithely blithely final deposits-- sau
55,283,Customer#000000283,jysHDuTKUKYEjdBhtI LqTttTp 7i2kvx1 O3A,7,17-111-303-1282,4450.03,AUTOMOBILE,y alongside of the accounts. slyly express dependencies wake quickly above the carefully ironic package,8195,283,F,203192.77,1995-01-07,3-MEDIUM,Clerk#000000778,0,y final packages cajole carefully ironic excuses. even as,8195,1469,70,1,25.00,34261.50,0.09,0.08,R,F,1995-03-13,1995-04-07,1995-03-17,TAKE BACK RETURN,TRUCK,"he even, u"
56,283,Customer#000000283,jysHDuTKUKYEjdBhtI LqTttTp 7i2kvx1 O3A,7,17-111-303-1282,4450.03,AUTOMOBILE,y alongside of the accounts. slyly express dependencies wake quickly above the carefully ironic package,8195,283,F,203192.77,1995-01-07,3-MEDIUM,Clerk#000000778,0,y final packages cajole carefully ironic excuses. even as,8195,1334,35,2,14.00,17294.62,0.02,0.02,R,F,1995-03-30,1995-03-25,1995-03-31,NONE,RAIL,ic excuses? express de
57,283,Customer#000000283,jysHDuTKUKYEjdBhtI LqTttTp 7i2kvx1 O3A,7,17-111-303-1282,4450.03,AUTOMOBILE,y alongside of the accounts. slyly express dependencies wake quickly above the carefully ironic package,8195,283,F,203192.77,1995-01-07,3-MEDIUM,Clerk#000000778,0,y final packages cajole carefully ironic excuses. even as,8195,1467,7,4,40.00,54738.40,0.00,0.02,R,F,1995-03-23,1995-02-13,1995-04-10,DELIVER IN PERSON,FOB,ccounts. accounts doubt 
58,283,Customer#000000283,jysHDuTKUKYEjdBhtI LqTttTp 7i2kvx1 O3A,7,17-111-303-1282,4450.03,AUTOMOBILE,y alongside of the accounts. slyly express dependencies wake quickly above the carefully ironic package,8195,283,F,203192.77,1995-01-07,3-MEDIUM,Clerk#000000778,0,y final packages cajole carefully ironic excuses. even as,8195,310,11,5,24.00,29047.44,0.05,0.01,A,F,1995-05-02,1995-03-21,1995-05-08,COLLECT COD,MAIL,hogs. finally regular theodo
59,283,Customer#000000283,jysHDuTKUKYEjdBhtI LqTttTp 7i2kvx1 O3A,7,17-111-303-1282,4450.03,AUTOMOBILE,y alongside of the accounts. slyly express dependencies wake quickly above the carefully ironic package,33091,283,F,56302.99,1995-01-26,2-HIGH,Clerk#000000551,0, the quickly final pinto beans. pending pl,33091,1208,9,1,47.00,52132.40,0.00,0.08,R,F,1995-04-09,1995-04-14,1995-04-30,COLLECT COD,TRUCK,"nts: ironic, ironic request"
